,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,predictions
2423,37,entrepreneur,single,secondary,0,654,0,0,unknown,19,5,594,2,-1,0,unknown,0,1
2434,35,admin.,single,secondary,0,57,0,1,cellular,8,7,632,2,-1,0,unknown,0,1
2437,37,admin.,single,secondary,0,0,1,0,cellular,16,4,640,2,-1,0,unknown,0,1
2438,39,management,married,tertiary,0,691,1,1,cellular,16,4,517,1,255,1,failure,0,1
2463,47,blue-collar,single,unknown,0,2443,0,0,unknown,18,6,422,1,-1,0,unknown,0,1
2466,42,self-employed,married,secondary,0,5564,0,0,cellular,17,11,560,2,-1,0,unknown,0,1
2481,30,management,married,tertiary,0,931,0,0,cellular,17,7,1183,1,-1,0,unknown,0,1
2483,40,blue-collar,married,secondary,0,271,1,0,unknown,29,5,483,2,-1,0,unknown,0,1
2491,58,retired,married,primary,0,4007,0,0,cellular,30,11,598,4,-1,0,unknown,0,1
2497,42,blue-collar,married,primary,0,505,1,0,unknown,14,5,521,2,-1,0,unknown,0,1
2514,31,technician,single,unknown,0,694,1,0,unknown,6,6,431,2,-1,0,unknown,0,1
2544,56,admin.,divorced,primary,0,0,0,1,cellular,10,7,542,1,-1,0,unknown,0,1
2582,32,blue-collar,married,secondary,0,9,1,0,cellular,17,4,334,2,-1,0,unknown,0,1
2591,34,management,married,tertiary,0,2892,1,1,cellular,30,7,1165,7,-1,0,unknown,0,1
2604,57,management,married,unknown,0,0,0,0,cellular,30,9,585,1,-1,0,unknown,0,1
2616,35,unemployed,married,tertiary,0,816,1,0,cellular,19,11,547,7,-1,0,unknown,0,1
2629,56,unemployed,divorced,primary,0,1770,0,0,cellular,5,2,916,3,-1,0,unknown,0,1
2630,58,retired,married,primary,0,0,0,0,cellular,4,8,506,1,-1,0,unknown,0,1
2634,39,housemaid,single,primary,0,109,1,0,unknown,6,5,699,3,-1,0,unknown,0,1
2638,38,blue-collar,married,primary,0,290,1,0,cellular,16,4,283,1,-1,0,unknown,0,1
2639,50,management,married,tertiary,0,1240,0,0,cellular,12,8,474,2,-1,0,unknown,0,1
2641,73,retired,married,secondary,0,19,0,0,cellular,5,11,509,2,-1,0,unknown,0,1
2645,33,blue-collar,married,primary,0,3074,0,0,cellular,18,11,679,1,-1,0,unknown,0,1
2651,44,management,married,secondary,0,2984,1,0,unknown,15,5,770,2,-1,0,unknown,0,1
2657,28,services,single,secondary,0,-427,1,1,unknown,21,5,965,2,-1,0,unknown,0,1
2658,56,admin.,married,secondary,0,2146,0,1,unknown,9,6,594,1,-1,0,unknown,0,1
2660,32,unemployed,married,secondary,0,10,1,0,unknown,6,5,501,4,-1,0,unknown,0,1
2679,30,services,married,secondary,0,699,1,0,unknown,29,5,544,1,-1,0,unknown,0,1
2684,34,blue-collar,married,secondary,0,67,1,1,unknown,8,5,672,3,-1,0,unknown,0,1
2688,27,services,married,secondary,0,-1202,1,0,unknown,4,6,749,2,-1,0,unknown,0,1
2690,45,blue-collar,married,primary,0,0,0,0,cellular,26,8,454,2,-1,0,unknown,0,1
2694,39,management,married,tertiary,0,399,0,0,cellular,9,4,504,1,-1,0,unknown,0,1
2699,37,blue-collar,married,primary,0,403,1,0,cellular,8,5,318,2,338,1,success,0,1
2711,47,unknown,married,unknown,0,677,0,0,cellular,7,8,384,1,99,4,success,0,1
2713,54,technician,married,tertiary,0,98,0,0,cellular,8,8,420,4,-1,0,unknown,0,1
2714,47,technician,divorced,tertiary,0,477,1,0,telephone,7,5,973,1,366,1,failure,0,1
2720,46,management,divorced,secondary,0,-852,0,1,cellular,29,8,728,2,-1,0,unknown,0,1
2731,48,blue-collar,married,secondary,0,1159,1,1,cellular,15,5,1181,9,-1,0,unknown,0,1
2744,57,unemployed,married,primary,0,0,0,0,unknown,9,6,540,1,-1,0,unknown,0,1
2745,34,management,married,tertiary,0,1657,1,0,cellular,18,5,566,2,356,4,failure,0,1
2751,42,technician,single,secondary,0,0,0,0,cellular,21,8,656,2,-1,0,unknown,0,1
2757,59,retired,married,unknown,0,0,0,0,unknown,8,5,425,6,-1,0,unknown,0,1
2761,35,blue-collar,divorced,secondary,0,0,1,0,unknown,8,5,477,1,-1,0,unknown,0,1
2765,53,retired,married,secondary,0,6095,1,1,cellular,14,5,410,5,-1,0,unknown,0,1
2767,47,self-employed,married,secondary,0,1121,0,0,unknown,20,6,454,6,-1,0,unknown,0,1
2772,48,management,single,tertiary,0,414,0,0,cellular,21,7,761,2,-1,0,unknown,0,1
2775,37,blue-collar,married,secondary,0,685,1,0,unknown,6,6,968,1,-1,0,unknown,0,1
2776,37,management,married,primary,0,22856,0,0,cellular,2,7,154,1,388,1,failure,0,1
2786,28,blue-collar,single,secondary,0,6307,1,0,unknown,28,5,615,1,-1,0,unknown,0,1
2816,34,technician,single,tertiary,0,586,1,0,unknown,16,5,489,2,-1,0,unknown,0,1
2818,57,entrepreneur,divorced,secondary,1,25,1,0,cellular,11,5,652,1,370,4,other,0,1
2819,26,admin.,single,secondary,0,96,1,0,cellular,13,5,612,2,348,3,other,0,1
2853,33,technician,married,secondary,0,9305,1,0,cellular,17,4,407,2,-1,0,unknown,0,1
2861,36,management,married,tertiary,0,0,1,1,unknown,3,6,599,3,-1,0,unknown,0,1
2875,29,technician,single,secondary,0,778,1,0,unknown,6,6,1994,2,-1,0,unknown,0,1
2879,61,housemaid,married,primary,0,848,0,0,cellular,27,4,605,1,187,1,other,0,1
2884,23,admin.,single,secondary,0,5,0,0,unknown,12,5,413,1,-1,0,unknown,0,1
2889,56,unemployed,divorced,primary,0,109,0,0,cellular,15,7,924,4,-1,0,unknown,0,1
2902,32,student,married,secondary,0,1694,1,0,cellular,28,1,929,1,-1,0,unknown,0,1
2903,53,management,married,tertiary,0,4446,1,0,unknown,14,5,429,1,-1,0,unknown,0,1
2904,39,management,married,tertiary,0,894,1,0,cellular,20,4,491,1,326,1,other,0,1
2919,44,management,married,tertiary,0,7635,0,0,cellular,21,8,719,5,-1,0,unknown,0,1
2954,51,services,married,secondary,0,0,0,1,unknown,26,6,565,3,-1,0,unknown,0,1
2956,35,management,married,tertiary,0,552,1,1,cellular,19,11,314,2,124,1,failure,0,1
2960,59,blue-collar,married,secondary,0,681,1,0,telephone,14,4,427,2,-1,0,unknown,0,1
2968,46,blue-collar,married,secondary,0,4855,1,0,cellular,10,8,1529,1,397,1,failure,0,1
2969,47,technician,married,tertiary,0,2408,0,0,cellular,12,8,236,1,104,1,success,0,1
2982,38,technician,married,tertiary,0,1161,1,0,unknown,8,5,665,1,-1,0,unknown,0,1
2986,34,management,single,tertiary,0,1,0,0,cellular,19,11,582,1,-1,0,unknown,0,1
2992,47,housemaid,married,secondary,0,3940,1,0,cellular,9,11,171,2,96,5,success,0,1
3002,27,services,single,secondary,0,3354,1,0,cellular,14,5,493,5,-1,0,unknown,0,1
3008,48,management,married,unknown,0,0,1,0,cellular,8,5,612,1,344,1,other,0,1
3021,43,blue-collar,married,primary,0,60,0,0,cellular,8,5,487,2,367,2,other,0,1
3023,36,blue-collar,single,tertiary,0,1830,0,0,cellular,14,10,183,1,91,11,failure,0,1
3037,52,technician,married,secondary,0,11,1,0,unknown,13,5,420,1,-1,0,unknown,0,1
3039,63,retired,married,primary,0,8044,0,0,cellular,12,11,702,1,-1,0,unknown,0,1
3049,25,student,single,tertiary,0,1433,1,0,cellular,15,5,520,1,-1,0,unknown,0,1
3062,43,entrepreneur,married,tertiary,0,210,0,0,cellular,29,7,646,2,-1,0,unknown,0,1
3066,34,blue-collar,married,secondary,0,856,1,0,cellular,20,4,470,1,150,5,other,0,1
3074,34,entrepreneur,married,tertiary,0,475,1,1,cellular,9,7,1156,1,-1,0,unknown,0,1
3076,33,blue-collar,married,primary,0,925,0,0,cellular,20,11,884,3,-1,0,unknown,0,1
3086,32,blue-collar,married,secondary,0,736,1,0,unknown,23,5,700,3,-1,0,unknown,0,1
3091,38,blue-collar,married,secondary,0,376,1,0,unknown,7,5,1521,1,-1,0,unknown,0,1
3094,56,retired,married,secondary,0,3948,0,0,cellular,3,4,484,1,135,3,failure,0,1
3114,28,services,single,secondary,0,94,1,0,cellular,16,4,300,1,-1,0,unknown,0,1
3137,42,blue-collar,married,secondary,0,3068,1,1,cellular,11,5,429,2,-1,0,unknown,0,1
3148,36,admin.,single,secondary,0,1927,1,0,cellular,18,11,288,1,137,1,other,0,1
3151,43,entrepreneur,married,secondary,0,59,0,0,unknown,13,5,437,2,-1,0,unknown,0,1
3152,47,housemaid,married,primary,0,0,0,0,cellular,10,8,1225,2,-1,0,unknown,0,1
3153,46,blue-collar,married,primary,0,328,1,0,unknown,21,5,526,8,-1,0,unknown,0,1
3157,75,blue-collar,married,secondary,0,6053,0,0,cellular,11,2,865,2,190,1,failure,0,1
3171,28,blue-collar,single,primary,0,1199,1,0,cellular,30,7,1011,20,-1,0,unknown,0,1
3175,38,admin.,divorced,secondary,0,156,1,0,unknown,17,6,544,3,-1,0,unknown,0,1
3190,39,services,married,secondary,0,186,1,0,cellular,17,4,433,1,-1,0,unknown,0,1
3205,77,retired,married,primary,0,680,0,0,telephone,27,11,341,4,94,3,failure,0,1
3210,50,management,married,secondary,0,732,0,0,cellular,7,4,736,7,-1,0,unknown,0,1
3230,32,blue-collar,single,secondary,0,2285,1,0,unknown,14,5,413,2,-1,0,unknown,0,1
3235,32,blue-collar,single,secondary,0,53,1,0,cellular,18,11,276,1,195,1,failure,0,1
3236,43,blue-collar,married,primary,0,2519,1,0,cellular,16,4,257,2,146,9,other,0,1
3238,53,admin.,divorced,secondary,0,0,1,1,cellular,30,4,586,2,-1,0,unknown,0,1
3243,27,management,single,tertiary,0,390,0,0,cellular,28,10,190,1,82,1,success,0,1
3268,44,blue-collar,married,secondary,0,788,1,0,cellular,17,4,392,1,-1,0,unknown,0,1
3270,35,blue-collar,married,secondary,0,262,0,0,cellular,2,7,96,2,109,4,success,0,1
3281,33,technician,single,secondary,0,1279,1,0,cellular,18,5,239,2,349,3,success,0,1
3291,48,technician,married,tertiary,0,9207,0,0,cellular,18,8,445,3,-1,0,unknown,0,1
3295,32,technician,divorced,secondary,0,202,1,0,cellular,4,2,429,1,201,1,failure,0,1
3298,27,technician,single,tertiary,0,808,1,0,cellular,15,5,578,1,364,1,other,0,1
3312,37,management,divorced,secondary,0,1287,1,0,cellular,14,5,432,1,-1,0,unknown,0,1
3314,35,self-employed,married,tertiary,0,980,0,0,cellular,2,8,428,2,336,6,failure,0,1
3318,69,retired,married,secondary,0,745,0,0,telephone,9,9,595,1,-1,0,unknown,0,1
3322,30,blue-collar,single,secondary,0,178,1,0,unknown,20,5,747,5,-1,0,unknown,0,1
3325,28,blue-collar,single,secondary,0,416,1,0,unknown,13,5,452,2,-1,0,unknown,0,1
3343,40,services,married,secondary,0,-378,1,1,cellular,13,5,541,1,295,6,failure,0,1
3348,31,blue-collar,single,secondary,0,1882,0,0,cellular,7,5,529,2,-1,0,unknown,0,1
3349,26,management,married,tertiary,0,265,0,0,cellular,30,1,650,2,-1,0,unknown,0,1
3362,21,student,single,secondary,0,6,0,0,unknown,9,5,622,1,-1,0,unknown,0,1
3363,33,blue-collar,married,secondary,0,467,1,0,unknown,21,5,494,2,-1,0,unknown,0,1
3365,34,entrepreneur,married,secondary,0,1847,1,0,cellular,9,4,543,3,321,6,failure,0,1
3370,31,student,single,tertiary,0,64,0,0,cellular,15,9,208,1,105,2,success,0,1
3372,32,management,single,tertiary,0,1160,1,1,unknown,11,6,450,2,-1,0,unknown,0,1
3379,56,admin.,divorced,unknown,0,789,1,0,cellular,8,5,1022,1,360,2,failure,0,1
3381,34,admin.,married,secondary,0,645,1,0,unknown,19,5,420,1,-1,0,unknown,0,1
3386,32,blue-collar,married,secondary,0,517,1,0,unknown,5,5,528,1,-1,0,unknown,0,1
3397,36,admin.,married,secondary,0,998,1,0,unknown,14,5,1044,2,-1,0,unknown,0,1
3398,34,technician,married,secondary,0,550,0,1,cellular,9,7,601,1,-1,0,unknown,0,1
3400,32,services,married,tertiary,0,4908,0,1,cellular,13,5,491,2,-1,0,unknown,0,1
3409,48,blue-collar,single,primary,0,316,0,0,unknown,5,6,560,2,-1,0,unknown,0,1
3430,30,technician,single,tertiary,0,1922,1,0,cellular,18,5,546,1,-1,0,unknown,0,1
3446,38,services,married,secondary,0,8876,0,0,cellular,2,2,280,1,75,1,failure,0,1
3449,28,unemployed,single,secondary,0,304,0,0,cellular,14,6,516,1,-1,0,unknown,0,1
3453,30,technician,single,secondary,0,3107,1,0,unknown,3,6,1516,2,-1,0,unknown,0,1
3463,52,admin.,married,secondary,0,199,0,0,cellular,28,1,978,2,189,1,other,0,1
3467,42,management,divorced,tertiary,0,221,1,0,unknown,7,5,720,2,-1,0,unknown,0,1
3476,33,blue-collar,married,secondary,0,625,1,0,unknown,28,5,410,1,-1,0,unknown,0,1
3481,40,unemployed,married,secondary,0,0,1,0,cellular,19,11,332,1,183,1,failure,0,1
3489,38,blue-collar,married,secondary,0,526,1,1,unknown,23,5,553,2,-1,0,unknown,0,1
3519,54,technician,married,secondary,0,0,0,0,telephone,14,8,159,2,106,6,success,0,1
3525,31,admin.,single,secondary,0,68,1,0,cellular,16,4,570,2,-1,0,unknown,0,1
3547,36,blue-collar,single,secondary,0,35,1,0,unknown,3,6,435,3,-1,0,unknown,0,1
3565,38,services,married,secondary,0,-762,1,1,unknown,30,5,408,2,-1,0,unknown,0,1
3585,33,entrepreneur,married,secondary,0,-118,1,1,unknown,27,5,421,3,-1,0,unknown,0,1
3588,27,technician,single,secondary,0,842,0,0,cellular,30,7,273,1,91,1,other,0,1
3592,39,services,married,secondary,0,0,1,0,unknown,20,5,793,2,-1,0,unknown,0,1
3593,42,blue-collar,single,primary,0,1628,1,0,cellular,5,2,119,1,195,8,success,0,1
3614,71,retired,divorced,tertiary,0,261,0,0,cellular,12,8,1117,2,-1,0,unknown,0,1
3623,33,blue-collar,married,primary,0,1209,1,0,cellular,16,4,700,1,-1,0,unknown,0,1
3641,27,student,single,secondary,0,268,1,0,cellular,13,5,528,1,358,2,failure,0,1
3644,58,admin.,single,secondary,0,2223,0,0,cellular,4,12,1139,2,114,1,success,0,1
3665,26,services,single,secondary,0,5533,1,0,cellular,7,5,582,2,283,4,failure,0,1
3674,39,management,single,tertiary,0,0,1,0,cellular,12,5,561,4,369,3,failure,0,1
3676,47,services,married,secondary,0,2322,0,0,cellular,22,8,618,1,-1,0,unknown,0,1
3679,31,services,married,secondary,0,-230,1,1,cellular,16,7,715,1,-1,0,unknown,0,1
3687,29,blue-collar,single,secondary,0,770,1,0,cellular,17,4,341,1,-1,0,unknown,0,1
3696,31,services,single,secondary,0,31,1,1,unknown,26,5,501,2,-1,0,unknown,0,1
3699,50,blue-collar,married,secondary,0,253,1,1,cellular,5,5,475,2,-1,0,unknown,0,1
3701,51,management,married,tertiary,0,5108,1,0,cellular,8,10,272,1,102,8,other,0,1
3702,48,blue-collar,married,secondary,0,1738,1,0,cellular,15,4,349,1,-1,0,unknown,0,1
3714,35,management,divorced,tertiary,0,434,1,0,cellular,11,5,277,1,271,2,success,0,1
3716,57,retired,divorced,secondary,0,-331,1,0,unknown,6,5,531,1,-1,0,unknown,0,1
3727,34,technician,single,secondary,0,475,1,0,cellular,29,7,538,8,-1,0,unknown,0,1
3747,37,blue-collar,married,secondary,0,140,1,1,cellular,7,5,490,1,-1,0,unknown,0,1
3750,79,retired,divorced,unknown,0,2628,0,0,telephone,8,7,220,7,450,2,failure,0,1
3755,33,blue-collar,single,secondary,0,3975,1,1,cellular,17,4,515,1,150,1,other,0,1
3758,31,blue-collar,married,secondary,0,472,1,0,unknown,13,5,907,2,-1,0,unknown,0,1
3764,31,unemployed,married,secondary,0,24,1,0,cellular,19,11,631,1,-1,0,unknown,0,1
3775,41,management,divorced,tertiary,0,3355,0,0,cellular,14,10,181,2,500,1,failure,0,1
3782,50,blue-collar,married,secondary,0,2320,1,0,cellular,7,4,310,1,-1,0,unknown,0,1
3794,43,unemployed,single,unknown,0,3274,1,0,cellular,22,5,680,1,95,1,failure,0,1
3797,30,technician,single,tertiary,0,2325,0,0,cellular,5,4,270,3,241,4,other,0,1
3799,31,blue-collar,married,secondary,0,1664,1,0,cellular,20,4,158,1,182,1,success,0,1
3810,40,blue-collar,married,primary,0,3658,1,0,unknown,14,5,977,1,-1,0,unknown,0,1
3813,35,self-employed,single,secondary,0,1732,0,0,telephone,21,11,1441,3,-1,0,unknown,0,1
3840,48,blue-collar,married,secondary,0,425,1,0,telephone,9,7,693,2,-1,0,unknown,0,1
3846,49,admin.,married,secondary,0,381,0,0,cellular,5,8,504,2,-1,0,unknown,0,1
3855,47,technician,married,secondary,0,-9,0,0,cellular,14,8,457,2,-1,0,unknown,0,1
3861,50,services,married,secondary,0,961,0,1,cellular,14,8,757,4,-1,0,unknown,0,1
3864,49,technician,married,secondary,0,-147,1,0,cellular,20,4,390,1,-1,0,unknown,0,1
3873,50,management,married,unknown,0,3304,0,0,unknown,5,6,1009,2,-1,0,unknown,0,1
3880,34,management,single,tertiary,0,340,1,0,unknown,3,6,633,28,-1,0,unknown,0,1
3891,39,self-employed,married,secondary,0,4722,1,0,unknown,17,6,483,1,-1,0,unknown,0,1
3919,44,housemaid,married,tertiary,0,460,0,0,unknown,17,6,491,1,-1,0,unknown,0,1
3920,42,technician,married,secondary,0,613,1,0,cellular,11,5,432,2,-1,0,unknown,0,1
3934,40,management,married,tertiary,0,8902,1,0,cellular,14,8,464,5,-1,0,unknown,0,1
3941,58,blue-collar,married,primary,0,0,1,0,unknown,29,5,535,2,-1,0,unknown,0,1
3943,45,services,single,secondary,0,1757,1,0,cellular,20,4,1010,3,326,1,other,0,1
3945,42,entrepreneur,married,tertiary,0,157,1,1,unknown,7,5,650,1,-1,0,unknown,0,1
3949,38,housemaid,married,primary,0,21,0,0,cellular,26,8,634,2,-1,0,unknown,0,1
3951,50,technician,single,secondary,0,246,1,0,cellular,17,11,270,1,123,2,failure,0,1
3960,34,technician,married,tertiary,0,1611,1,0,cellular,11,5,490,2,-1,0,unknown,0,1
3964,39,management,single,secondary,0,835,1,0,unknown,29,5,587,4,-1,0,unknown,0,1
3968,58,management,married,tertiary,0,1831,0,0,cellular,17,11,1531,1,-1,0,unknown,0,1
3982,41,management,married,tertiary,0,72,1,0,unknown,7,5,764,3,-1,0,unknown,0,1
3993,44,management,married,tertiary,0,17361,0,0,unknown,18,6,476,1,-1,0,unknown,0,1
3996,34,management,married,secondary,0,-294,1,0,unknown,27,5,532,2,-1,0,unknown,0,1
3999,44,services,married,secondary,0,27,0,0,cellular,25,5,485,1,-1,0,unknown,0,1
4013,39,technician,married,unknown,0,839,0,0,unknown,30,5,825,2,-1,0,unknown,0,1
4019,43,technician,married,secondary,0,0,1,1,cellular,4,2,539,8,204,5,failure,0,1
4030,38,blue-collar,divorced,secondary,0,0,1,0,cellular,11,5,580,1,173,1,failure,0,1
4048,33,admin.,divorced,secondary,0,818,1,1,cellular,16,4,301,3,-1,0,unknown,0,1
4066,36,services,married,secondary,0,3064,1,0,telephone,26,8,240,3,107,4,failure,0,1
4068,30,blue-collar,single,secondary,0,6900,0,0,cellular,21,11,816,1,-1,0,unknown,0,1
4072,45,blue-collar,married,primary,0,0,0,0,unknown,23,5,574,5,-1,0,unknown,0,1
4075,40,technician,married,secondary,0,257,1,0,unknown,16,5,731,4,-1,0,unknown,0,1
4077,31,blue-collar,divorced,secondary,0,6,1,0,cellular,29,1,821,1,-1,0,unknown,0,1
4081,26,management,single,secondary,0,565,1,0,unknown,6,6,582,11,-1,0,unknown,0,1
4082,47,blue-collar,married,secondary,0,0,1,0,cellular,21,7,676,1,-1,0,unknown,0,1
4083,51,management,married,tertiary,0,1612,0,0,cellular,16,3,384,1,182,5,failure,0,1
4101,48,blue-collar,married,primary,0,559,1,0,unknown,15,5,1231,2,-1,0,unknown,0,1
4109,40,blue-collar,married,primary,0,177,1,1,telephone,21,7,742,4,-1,0,unknown,0,1
4119,52,retired,single,secondary,0,316,0,0,cellular,12,5,463,3,-1,0,unknown,0,1
4129,33,technician,married,secondary,0,-163,1,1,cellular,8,8,502,2,-1,0,unknown,0,1
4133,30,management,married,secondary,0,0,1,0,cellular,12,5,756,3,-1,0,unknown,0,1
4171,42,blue-collar,married,primary,0,969,1,0,cellular,13,5,721,1,-1,0,unknown,0,1
4186,52,technician,married,tertiary,0,0,0,0,cellular,9,8,145,3,94,4,success,0,1
4187,36,services,married,secondary,0,472,1,0,unknown,19,6,1017,1,-1,0,unknown,0,1
4188,43,blue-collar,married,primary,0,487,1,0,unknown,7,5,548,2,-1,0,unknown,0,1
4191,31,management,single,tertiary,0,1130,1,0,cellular,17,4,224,3,74,4,failure,0,1
4192,29,management,single,secondary,0,584,1,0,unknown,16,6,541,19,-1,0,unknown,0,1
4199,35,blue-collar,married,secondary,0,603,1,0,cellular,17,4,474,2,-1,0,unknown,0,1
4203,37,management,married,tertiary,0,1689,1,0,unknown,29,5,645,2,-1,0,unknown,0,1
4207,57,technician,married,secondary,0,589,1,0,cellular,2,2,223,1,76,4,failure,0,1
4209,38,services,married,secondary,0,0,0,1,cellular,16,7,1473,6,-1,0,unknown,0,1
4210,51,blue-collar,divorced,secondary,0,78,1,0,unknown,27,5,723,2,-1,0,unknown,0,1
4216,53,admin.,married,secondary,0,459,0,0,cellular,14,10,317,6,192,1,success,0,1
4223,32,blue-collar,divorced,secondary,0,0,1,0,unknown,2,6,746,2,-1,0,unknown,0,1
4253,35,management,married,tertiary,0,3161,0,0,cellular,8,8,433,2,-1,0,unknown,0,1
4254,31,technician,married,secondary,0,0,0,1,cellular,15,7,624,6,-1,0,unknown,0,1
4255,42,management,married,secondary,0,1331,0,0,cellular,23,7,698,2,-1,0,unknown,0,1
4265,30,blue-collar,single,secondary,0,1073,1,0,cellular,5,5,1130,4,-1,0,unknown,0,1
4268,39,services,married,secondary,0,0,1,0,cellular,8,5,503,1,-1,0,unknown,0,1
4271,47,blue-collar,divorced,primary,0,1279,1,0,cellular,6,2,479,2,-1,0,unknown,0,1
4274,35,blue-collar,married,primary,0,378,1,0,unknown,16,5,427,3,-1,0,unknown,0,1
4284,54,self-employed,married,secondary,0,641,1,0,cellular,17,4,472,1,148,2,failure,0,1
4290,40,services,married,tertiary,0,35,0,0,cellular,3,7,318,4,317,3,failure,0,1
4291,36,services,married,secondary,0,895,1,1,unknown,4,6,622,1,-1,0,unknown,0,1
4295,30,self-employed,single,tertiary,0,901,1,1,unknown,16,5,601,1,-1,0,unknown,0,1
4296,33,admin.,single,secondary,0,894,0,0,cellular,5,2,509,2,-1,0,unknown,0,1
4302,33,blue-collar,single,primary,0,1,1,0,cellular,20,4,257,1,-1,0,unknown,0,1
4306,51,technician,married,secondary,0,143,1,0,unknown,16,5,627,1,-1,0,unknown,0,1
4316,49,blue-collar,married,unknown,0,51,1,0,unknown,7,5,984,1,-1,0,unknown,0,1
4323,83,retired,divorced,primary,0,0,0,0,telephone,31,5,664,1,77,3,success,0,1
4326,37,management,single,tertiary,0,9,0,0,cellular,26,8,484,2,-1,0,unknown,0,1
4327,55,services,divorced,primary,0,653,0,0,unknown,6,6,800,1,-1,0,unknown,0,1
4340,47,blue-collar,married,secondary,0,2548,1,0,cellular,11,5,577,1,368,1,other,0,1
4372,30,technician,single,secondary,0,4787,1,0,cellular,18,11,266,1,167,2,failure,0,1
4373,28,blue-collar,married,secondary,0,225,1,1,unknown,7,5,866,2,-1,0,unknown,0,1
4400,48,admin.,married,secondary,0,5,1,0,unknown,7,5,697,2,-1,0,unknown,0,1
4403,39,housemaid,married,primary,0,267,0,0,unknown,9,6,1151,5,-1,0,unknown,0,1
4404,31,management,married,tertiary,0,4945,0,0,cellular,11,8,445,1,-1,0,unknown,0,1
4406,35,unemployed,single,secondary,0,2116,1,0,cellular,13,5,409,2,-1,0,unknown,0,1
4413,65,retired,married,primary,0,493,0,0,cellular,16,10,622,1,182,1,failure,0,1
4417,33,unemployed,married,tertiary,0,302,1,1,cellular,16,4,670,1,-1,0,unknown,0,1
4422,37,services,divorced,primary,0,260,1,0,cellular,17,4,446,2,-1,0,unknown,0,1
4435,31,technician,single,secondary,0,4888,1,0,telephone,5,5,475,4,166,2,failure,0,1
4449,31,self-employed,single,secondary,0,360,1,0,unknown,26,5,592,4,-1,0,unknown,0,1
4453,35,blue-collar,married,secondary,0,5304,1,0,cellular,20,11,340,1,183,2,failure,0,1
4455,50,blue-collar,married,secondary,0,181,1,0,cellular,17,4,599,2,-1,0,unknown,0,1
4456,37,management,married,primary,0,3953,1,0,cellular,6,4,610,2,138,1,failure,0,1
4457,37,blue-collar,single,primary,0,6969,1,0,unknown,20,5,412,1,-1,0,unknown,0,1
4459,31,admin.,single,secondary,0,223,1,0,cellular,17,4,508,1,315,11,success,0,1
4480,23,blue-collar,married,primary,0,1158,1,0,cellular,16,4,743,1,-1,0,unknown,0,1
4481,43,services,married,secondary,0,642,0,0,cellular,31,7,644,2,-1,0,unknown,0,1
4486,37,blue-collar,married,primary,0,378,1,0,unknown,9,5,514,1,-1,0,unknown,0,1
4492,32,technician,single,secondary,0,309,1,1,cellular,16,4,346,1,234,3,failure,0,1
4495,48,management,married,tertiary,0,1175,1,0,telephone,18,11,1476,3,-1,0,unknown,0,1
4498,31,management,married,tertiary,0,1183,1,0,unknown,27,5,676,6,-1,0,unknown,0,1
4507,33,services,married,secondary,0,288,1,0,cellular,17,4,306,1,-1,0,unknown,0,1
4508,42,admin.,married,unknown,0,642,1,1,unknown,16,5,509,2,-1,0,unknown,0,1
4512,40,blue-collar,married,secondary,0,1100,1,0,unknown,29,5,660,2,-1,0,unknown,0,1
4515,32,services,single,secondary,0,473,1,0,cellular,7,7,624,5,-1,0,unknown,0,1
4520,44,entrepreneur,single,tertiary,0,1136,1,1,cellular,3,4,345,2,249,7,other,0,1
